Year,County of Residence,County of Residence Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Abnormal Conditions Checked,Abnormal Conditions Checked Code,Births,% of Total Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average LMP Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Live Birth (months),Average Interval Since Last Other Pregnancy Outcome (months)
2024,"Baldwin County, AL",1003,At least one checked,0,None checked,1,12,0,31,38.92,38.67,3635.42,27.1,10.5,40.6,26.50
2024,"Baldwin County, AL",1003,None checked,1,At least one checked,0,336,0.0001,29.57,35.72,36.15,2733.64,29.03,9.77,54.57,42.95
2024,"Baldwin County, AL",1003,None checked,1,None checked,1,2391,0.0007,28.76,38.44,38.72,3311.31,27.81,10.53,50.79,46.61
2024,"Calhoun County, AL",1015,None checked,1,At least one checked,0,92,0,27.54,34.57,34.8,2472.59,30.04,8.3,57.21,41.15
2024,"Calhoun County, AL",1015,None checked,1,None checked,1,1157,0.0003,27.21,38.43,38.63,3269.59,29.24,10,50.3,44.06
2024,"Etowah County, AL",1055,At least one checked,0,None checked,1,11,0,30.55,37.73,37.91,3271.36,29.56,11.36,62,15.60
2024,"Etowah County, AL",1055,None checked,1,At least one checked,0,165,0,27.44,36.57,36.51,2863.84,29.95,9.42,55.66,51.67
2024,"Etowah County, AL",1055,None checked,1,None checked,1,1040,0.0003,26.94,38.52,38.76,3273.07,29.04,10.34,50.96,46.08
2024,"Houston County, AL",1069,None checked,1,At least one checked,0,153,0,27.66,35.3,35.32,2600.16,31.28,9.8,51.12,33.47
2024,"Houston County, AL",1069,None checked,1,None checked,1,1092,0.0003,27.39,38.76,38.76,3290.27,29.88,11.38,49.57,46.75
2024,"Jefferson County, AL",1073,At least one checked,0,At least one checked,0,23,0,31.43,34.52,34.7,2433.74,27.49,7.13,54.07,65.33
2024,"Jefferson County, AL",1073,At least one checked,0,None checked,1,92,0,29.43,38.63,38.66,3434.57,26.03,10.68,44.16,57.41
2024,"Jefferson County, AL",1073,None checked,1,At least one checked,0,1073,0.0003,29.52,35.41,35.33,2596.11,29.72,9.37,60.51,57.41
2024,"Jefferson County, AL",1073,None checked,1,None checked,1,6697,0.0018,29.1,38.48,38.5,3250.78,28.01,10.65,51.45,51.76
2024,"Lee County, AL",1081,At least one checked,0,At least one checked,0,23,0,29.87,36.52,36.39,3116.39,31.76,10.77,51.86,28.00
2024,"Lee County, AL",1081,At least one checked,0,None checked,1,32,0,28.66,38.78,39.16,3357.69,27.01,12.59,80.6,42.67
2024,"Lee County, AL",1081,None checked,1,At least one checked,0,327,0.0001,28.61,36.19,36.55,2803.48,29.39,10.5,54.17,44.22
2024,"Lee County, AL",1081,None checked,1,None checked,1,1612,0.0004,28.47,38.49,38.61,3286.2,28.16,11.72,46.94,43.61
2024,"Madison County, AL",1089,At least one checked,0,At least one checked,0,23,0,28.22,35.57,35.65,2777.39,28.79,10.32,41.92,11.00
2024,"Madison County, AL",1089,At least one checked,0,None checked,1,88,0,29.47,38.72,38.45,3393.65,27.65,9.88,48.97,32.88
2024,"Madison County, AL",1089,None checked,1,At least one checked,0,649,0.0002,29.35,35.59,36.07,2743.72,29.96,8.41,52.47,44.37
2024,"Madison County, AL",1089,None checked,1,None checked,1,3875,0.0011,29.09,38.45,38.7,3286.39,28.2,9.34,49.38,42.61
2024,"Mobile County, AL",1097,At least one checked,0,None checked,1,39,0,26.62,38.36,38.54,3300.13,25.77,10.13,37.25,50.00
2024,"Mobile County, AL",1097,None checked,1,At least one checked,0,522,0.0001,28.02,34.38,34.77,2409.74,30.76,9.62,56.6,44.04
2024,"Mobile County, AL",1097,None checked,1,None checked,1,4211,0.0012,27.95,38.33,38.53,3236.53,29.11,10.44,51.47,47.15
2024,"Montgomery County, AL",1101,At least one checked,0,None checked,1,16,0,29.19,38.38,38,3274.62,28.06,12.56,86.17,42.00
2024,"Montgomery County, AL",1101,None checked,1,At least one checked,0,536,0.0001,28.74,36.15,36.36,2781.53,30.52,9.44,54.32,51.40
2024,"Montgomery County, AL",1101,None checked,1,None checked,1,2203,0.0006,27.91,38.19,38.36,3150.08,29.26,9.43,53.46,53.75
2024,"Morgan County, AL",1103,At least one checked,0,None checked,1,44,0,25.57,38.84,38.5,3488.52,26.74,6.75,40.4,34.12
2024,"Morgan County, AL",1103,None checked,1,At least one checked,0,200,0.0001,29.15,36.29,36.55,2888.93,31.03,9.22,56.23,51.93
2024,"Morgan County, AL",1103,None checked,1,None checked,1,1205,0.0003,27.72,38.5,38.75,3281.36,28.83,9.16,47.38,46.04
2024,"Shelby County, AL",1117,At least one checked,0,None checked,1,45,0,29.09,38.78,38.76,3557.16,26.76,11.43,53.4,21.50
2024,"Shelby County, AL",1117,None checked,1,At least one checked,0,273,0.0001,29.88,35.74,35.8,2735.75,29.09,9.74,56.2,45.63
2024,"Shelby County, AL",1117,None checked,1,None checked,1,1997,0.0006,29.88,38.43,38.6,3325.33,27.78,11.02,47.94,41.45
2024,"Tuscaloosa County, AL",1125,At least one checked,0,None checked,1,38,0,26.55,38.95,39.13,3493.45,25.18,9.74,35.31,25.50
2024,"Tuscaloosa County, AL",1125,None checked,1,At least one checked,0,301,0.0001,29.17,34.69,35.09,2473.11,30.53,9.3,53.72,72.55
2024,"Tuscaloosa County, AL",1125,None checked,1,None checked,1,2204,0.0006,27.92,38.44,38.59,3259.69,28.86,9.82,46.99,50.73
2024,"Unidentified Counties, AL",1999,At least one checked,0,At least one checked,0,74,0,28.32,34.95,35.14,2557.58,28.46,8.75,67.57,37.40
2024,"Unidentified Counties, AL",1999,At least one checked,0,None checked,1,234,0.0001,26.99,38.19,38.37,3330.96,28.31,11.03,48.91,45.32
2024,"Unidentified Counties, AL",1999,None checked,1,At least one checked,0,3197,0.0009,28.3,35.66,35.96,2722.47,30.51,9.87,54.25,46.51
2024,"Unidentified Counties, AL",1999,None checked,1,None checked,1,19571,0.0054,27.23,38.44,38.66,3283.31,29.22,10.47,49.35,46.21
2024,"Anchorage Borough, AK",2020,At least one checked,0,At least one checked,0,16,0,30.94,35.5,35.62,2727.94,30.92,7.67,56.43,40.62
2024,"Anchorage Borough, AK",2020,At least one checked,0,None checked,1,58,0,28.69,38.78,39,3495.9,27.89,10.34,55.88,44.65
2024,"Anchorage Borough, AK",2020,None checked,1,At least one checked,0,433,0.0001,29.56,36.09,36.37,2867.54,28.9,9.32,55.11,58.92
2024,"Anchorage Borough, AK",2020,None checked,1,None checked,1,2975,0.0008,29.64,38.79,38.95,3406.24,28.03,10.73,45.31,46.33
2024,"Unidentified Counties, AK",2999,At least one checked,0,At least one checked,0,43,0,28.28,36.93,36.93,3155.81,26.81,9.44,42.26,62.18
2024,"Unidentified Counties, AK",2999,At least one checked,0,None checked,1,134,0,27.47,38.75,38.8,3500.86,27.16,10.47,46.73,44.74
2024,"Unidentified Counties, AK",2999,None checked,1,At least one checked,0,793,0.0002,29.34,36.53,36.75,2948.84,28.77,9.71,51.72,49.50
2024,"Unidentified Counties, AK",2999,None checked,1,None checked,1,4433,0.0012,29.09,38.8,38.99,3448.18,27.52,10.63,44.04,51.19
2024,"Unidentified Counties, AK",2999,None checked,1,Unknown or Not Stated,9,23,0,27.39,36.77,37.09,3227.74,26.84,7.95,27.94,40.14
2024,"Unidentified Counties, AK",2999,Unknown or Not Stated,9,None checked,1,11,0,27.64,38.09,38.36,3568.55,29.35,9.82,32.57,54.67
2024,"Cochise County, AZ",4003,At least one checked,0,None checked,1,14,0,29.14,38.36,38.71,3579.93,29.92,10.79,55.22,11.00
2024,"Cochise County, AZ",4003,None checked,1,At least one checked,0,92,0,28.29,34.87,35.2,2343.37,28.72,7.34,44.93,59.50
2024,"Cochise County, AZ",4003,None checked,1,None checked,1,1076,0.0003,28.19,38.73,38.81,3286.07,28.25,9.48,54.18,43.03
2024,"Coconino County, AZ",4005,At least one checked,0,None checked,1,18,0,30.33,38.72,38.89,3416.06,26.81,11.25,53.64,25.29
2024,"Coconino County, AZ",4005,None checked,1,At least one checked,0,117,0,30.5,36.42,36.5,2819.92,28,8.79,61.66,48.80
2024,"Coconino County, AZ",4005,None checked,1,None checked,1,1096,0.0003,29.05,38.79,39.09,3264.07,27.62,10.14,50.15,46.29
2024,"Maricopa County, AZ",4013,At least one checked,0,At least one checked,0,160,0,31.49,34.82,35.09,2558.18,28.54,9.24,69.69,63.33
2024,"Maricopa County, AZ",4013,At least one checked,0,None checked,1,440,0.0001,28.68,38.72,38.76,3432.15,26.91,11.24,50.65,44.11
2024,"Maricopa County, AZ",4013,None checked,1,At least one checked,0,3971,0.0011,30,35.64,35.96,2665.84,28.85,9.78,55.95,57.92
2024,"Maricopa County, AZ",4013,None checked,1,None checked,1,46330,0.0128,29.26,38.66,38.87,3315.86,27.68,11.11,50.87,53.84
2024,"Mohave County, AZ",4015,At least one checked,0,None checked,1,11,0,24.09,38.91,39.82,3582.45,24.12,8.18,50.33,14.00
2024,"Mohave County, AZ",4015,None checked,1,At least one checked,0,149,0,28.49,35.18,35.39,2593.48,28.52,8.52,54.99,42.88
2024,"Mohave County, AZ",4015,None checked,1,None checked,1,1610,0.0004,27.88,38.68,39,3314.75,27.79,10.64,48.84,52.18
2024,"Navajo County, AZ",4017,At least one checked,0,None checked,1,27,0,26.78,38.48,38.56,3321.22,29.89,8,44.27,54.86
2024,"Navajo County, AZ",4017,None checked,1,At least one checked,0,150,0,28.89,36.47,36.74,2844.78,30.18,9,47.12,58.05
2024,"Navajo County, AZ",4017,None checked,1,None checked,1,1019,0.0003,27.89,38.61,38.77,3273.07,29.04,10.51,52.24,56.88
2024,"Pima County, AZ",4019,At least one checked,0,At least one checked,0,36,0,30.11,35.19,35.61,2615.22,28.7,7.91,39.33,108.00
2024,"Pima County, AZ",4019,At least one checked,0,None checked,1,139,0,29.01,38.53,38.68,3397.01,26.94,10.35,56.53,32.75
2024,"Pima County, AZ",4019,None checked,1,At least one checked,0,1062,0.0003,29.64,36.06,36.37,2741.85,29.39,8.81,61.39,48.00
2024,"Pima County, AZ",4019,None checked,1,None checked,1,8489,0.0023,29.16,38.64,38.83,3291.26,28.23,10.35,52.5,49.00
2024,"Pinal County, AZ",4021,At least one checked,0,At least one checked,0,35,0,30.26,34.2,34.31,2556.57,29.32,8.91,48,51.20
2024,"Pinal County, AZ",4021,At least one checked,0,None checked,1,68,0,27.46,38.68,38.96,3432.4,25.73,11.43,53.86,55.65
2024,"Pinal County, AZ",4021,None checked,1,At least one checked,0,586,0.0002,29.25,35.65,36.06,2734.34,30.18,10.82,50.27,48.32
2024,"Pinal County, AZ",4021,None checked,1,None checked,1,4936,0.0014,28.49,38.67,38.99,3366.25,28.69,12.1,47.9,51.35
2024,"Yavapai County, AZ",4025,At least one checked,0,At least one checked,0,10,0,30.9,34.8,35.5,2576.6,28.35,10.22,29.4,97.50
2024,"Yavapai County, AZ",4025,At least one checked,0,None checked,1,25,0,28.92,38.04,38.12,3226.6,26.02,10.52,56.92,34.43
2024,"Yavapai County, AZ",4025,None checked,1,At least one checked,0,225,0.0001,29.03,36.9,37.08,2955.59,28.13,10.4,52.32,48.59
2024,"Yavapai County, AZ",4025,None checked,1,None checked,1,1530,0.0004,28.65,38.82,39.05,3298.82,27.09,11.32,51.14,52.93
2024,"Yuma County, AZ",4027,At least one checked,0,At least one checked,0,32,0,29.69,34.62,34.72,2523.28,29.53,8.66,52.25,41.00
2024,"Yuma County, AZ",4027,At least one checked,0,None checked,1,112,0,27.28,38.44,38.82,3413.84,28.54,8.88,55.48,48.60
2024,"Yuma County, AZ",4027,None checked,1,At least one checked,0,356,0.0001,29.23,35.94,36.25,2802.71,31.01,8.12,67.77,46.89
2024,"Yuma County, AZ",4027,None checked,1,None checked,1,2288,0.0006,28.12,38.77,39.1,3387.26,29.75,9.7,55.29,48.87
2024,"Unidentified Counties, AZ",4999,At least one checked,0,None checked,1,39,0,28.97,38.26,38,3372.64,28.08,9.05,56.09,58.57
2024,"Unidentified Counties, AZ",4999,None checked,1,At least one checked,0,259,0.0001,28.18,36.07,36.12,2769.34,29.55,8.2,53.69,53.45
2024,"Unidentified Counties, AZ",4999,None checked,1,None checked,1,2176,0.0006,27.76,38.55,38.75,3290.58,28.78,9.57,51.28,55.65
2024,"Benton County, AR",5007,At least one checked,0,None checked,1,63,0,30.17,38.79,38.86,3557.56,27.75,10.92,61.25,29.86
2024,"Benton County, AR",5007,None checked,1,At least one checked,0,381,0.0001,30.02,35.68,36.03,2682.95,29.5,9.2,55.98,44.71
2024,"Benton County, AR",5007,None checked,1,None checked,1,3561,0.001,29.35,38.62,38.81,3345.08,28.06,10.7,47.53,44.47
2024,"Faulkner County, AR",5045,At least one checked,0,None checked,1,19,0,29.16,39.21,38.84,3643.68,27.72,11.32,28.5,Not Applicable
2024,"Faulkner County, AR",5045,None checked,1,At least one checked,0,201,0.0001,28.9,36.06,36.48,2854.51,29.99,9.35,49.65,44.82
2024,"Faulkner County, AR",5045,None checked,1,None checked,1,1276,0.0004,27.89,38.48,38.79,3316.72,29.1,10.6,47.21,42.53
2024,"Pulaski County, AR",5119,At least one checked,0,At least one checked,0,20,0,26,37.6,37.6,3128.5,29.19,9.35,50.86,11.67
2024,"Pulaski County, AR",5119,At least one checked,0,None checked,1,71,0,27.85,38.61,38.86,3393.53,25.21,9.97,59.52,29.50
2024,"Pulaski County, AR",5119,None checked,1,At least one checked,0,775,0.0002,28.65,35.91,36.14,2700.48,29.92,8.92,53.52,52.85
2024,"Pulaski County, AR",5119,None checked,1,None checked,1,3857,0.0011,28.28,38.41,38.57,3209.11,28.6,10.06,51.08,47.04
2024,"Saline County, AR",5125,At least one checked,0,None checked,1,24,0,27.62,38.58,39.08,3354.58,28.92,9.75,73,20.25
2024,"Saline County, AR",5125,None checked,1,At least one checked,0,262,0.0001,29.1,36.19,36.53,2860.5,30.58,10.19,59.93,42.41
2024,"Saline County, AR",5125,None checked,1,None checked,1,1137,0.0003,28.49,38.28,38.62,3269.51,28.46,10.7,52.52,42.61
2024,"Sebastian County, AR",5131,At least one checked,0,At least one checked,0,11,0,29.64,35.91,36.18,2748.82,31.57,9.55,72.67,13.00
2024,"Sebastian County, AR",5131,At least one checked,0,None checked,1,23,0,27.61,38.65,38.3,3628.74,27.14,10.22,44.45,49.67
2024,"Sebastian County, AR",5131,None checked,1,At least one checked,0,266,0.0001,27.58,36.61,36.73,2970.29,30.27,8.47,51.33,46.41
2024,"Sebastian County, AR",5131,None checked,1,None checked,1,1301,0.0004,27.42,38.68,39.05,3311.76,28.43,9.8,50,47.26
2024,"Washington County, AR",5143,At least one checked,0,At least one checked,0,13,0,30.15,36.54,37.15,2818.85,24.38,11,76,Not Applicable
2024,"Washington County, AR",5143,At least one checked,0,None checked,1,40,0,27.5,38.73,39.12,3377.82,28.93,9.85,38.06,37.60
2024,"Washington County, AR",5143,None checked,1,At least one checked,0,391,0.0001,29.45,35.94,36.16,2774.36,29.99,8.38,56.46,40.97
2024,"Washington County, AR",5143,None checked,1,None checked,1,2952,0.0008,28.61,38.62,38.86,3330.59,28.2,10.13,48.2,43.45
2024,"Unidentified Counties, AR",5999,At least one checked,0,At least one checked,0,92,0,28.71,35.3,35.59,2679.99,27.07,8.02,53.98,42.81
2024,"Unidentified Counties, AR",5999,At least one checked,0,None checked,1,241,0.0001,25.9,38.21,38.37,3341.67,26.81,10.33,39.92,39.80
2024,"Unidentified Counties, AR",5999,None checked,1,At least one checked,0,2516,0.0007,27.24,35.78,36.05,2757.52,30.33,8.89,51.13,46.85
2024,"Unidentified Counties, AR",5999,None checked,1,None checked,1,15878,0.0044,26.78,38.38,38.6,3262.02,28.9,10.25,48.14,45.78
2024,"Alameda County, CA",6001,At least one checked,0,At least one checked,0,51,0,31.27,38.06,37.9,3119.82,25.58,10.2,46.36,39.67
2024,"Alameda County, CA",6001,At least one checked,0,None checked,1,323,0.0001,32.13,39.02,39.15,3282.89,24.85,10.6,52.01,29.68
2024,"Alameda County, CA",6001,None checked,1,At least one checked,0,1724,0.0005,32.96,36.69,37,2843.94,27.9,9.76,62.77,31.20
2024,"Alameda County, CA",6001,None checked,1,None checked,1,13917,0.0038,32.21,38.74,38.89,3286.22,26.83,10.38,54.46,36.82
2024,"Butte County, CA",6007,At least one checked,0,At least one checked,0,15,0,26.8,37.47,37.87,3075.6,24.82,9.13,41.67,Not Applicable
2024,"Butte County, CA",6007,At least one checked,0,None checked,1,45,0,29.44,39.24,39.16,3544.24,27.43,10.96,67.92,13.17
2024,"Butte County, CA",6007,None checked,1,At least one checked,0,357,0.0001,30.01,37,37.49,3015.01,29.1,9.66,58.19,36.05
2024,"Butte County, CA",6007,None checked,1,None checked,1,1569,0.0004,29.17,38.87,39.14,3361,28.17,10.56,48.77,37.21
2024,"Contra Costa County, CA",6013,At least one checked,0,At least one checked,0,37,0,32.86,35.54,35.86,2795.68,28.11,9.83,75.44,32.50
2024,"Contra Costa County, CA",6013,At least one checked,0,None checked,1,144,0,31.39,39,39.23,3402.53,26.05,11.17,58.91,22.00
2024,"Contra Costa County, CA",6013,None checked,1,At least one checked,0,1005,0.0003,32.05,36.26,36.55,2820.83,28.69,10.38,61.03,34.46
2024,"Contra Costa County, CA",6013,None checked,1,None checked,1,9694,0.0027,31.86,38.68,38.87,3316.03,27.95,10.9,54.38,39.77
